rainfall_mm,temperature_c,humidity,wind_speed,solar_radiation,soil_moisture,n_avg,p_avg,k_avg
177.15,14.8975,84.4475,1.5125,13.855,0.909516129,246.800605,13.51724599,92.30073992
177.15,14.8975,84.4475,1.5125,13.855,0.909516129,246.800605,13.51724599,92.30073992
36.59,5.983333333,72.46,1.523333333,12.89666667,0.763483871,246.800605,13.51724599,92.30073992
189.4375,15.6075,81.4,1.535,14.7575,0.852465054,253.1288257,13.68142306,95.25360157
189.4375,15.6075,81.4,1.535,14.7575,0.852465054,253.1288257,13.68142306,95.25360157
26.57666667,6.933333333,69.57666667,1.513333333,13.56333333,0.732519713,253.1288257,13.68142306,95.25360157
186.62,15.8125,81.38,1.545,15.4,0.813696237,259.6193084,13.84759419,98.30093041
186.62,15.8125,81.38,1.545,15.4,0.813696237,259.6193084,13.84759419,98.30093041
24.58666667,6.866666667,70.44,1.493333333,12.92,0.701437276,259.6193084,13.84759419,98.30093041
184.145,15.445,80.555,1.62,14.5625,0.766771505,266.2762137,14.0157836,101.4457486
184.145,15.445,80.555,1.62,14.5625,0.766771505,266.2762137,14.0157836,101.4457486
26.42666667,7.1,71.16333333,1.503333333,12.93666667,0.72378853,266.2762137,14.0157836,101.4457486
308.3475,15.065,84.3325,1.5125,14.46,0.932650538,273.103809,14.18601579,104.691175
308.3475,15.065,84.3325,1.5125,14.46,0.932650538,273.103809,14.18601579,104.691175
54.63666667,6.866666667,73.21333333,1.486666667,14.01,0.838405018,273.103809,14.18601579,104.691175
289.85,15.4425,83.4925,1.5775,15.515,0.904583333,280.1064707,14.35831557,108.0404283
289.85,15.4425,83.4925,1.5775,15.515,0.904583333,280.1064707,14.35831557,108.0404283
47.61333333,6.556666667,76.53,1.48,12.73333333,0.83525448,280.1064707,14.35831557,108.0404283
340.82,15,86.175,1.485,13.9125,0.975446237,361.2245089,16.15617661,142.5441248
340.82,15,86.175,1.485,13.9125,0.975446237,361.2245089,16.15617661,142.5441248
55.78,6.763333333,76.46666667,1.44,12.39,0.889591398,361.2245089,16.15617661,142.5441248
276.0725,15.2,83.81,1.5025,15.0725,0.916284946,364.8732414,16.23736343,144.7148475
